Alphabet,CharClassKind,Quantifier,AlternationDepth,NestingDepth,Operation,InputLength
ascii_alnum,set,bounded,1,2,toAutomaton,short
single_char,single,none,0,0,complement,empty
ascii_alnum,negated,star,2,1,minimize,medium
unicode_bmp,range,plus,0,0,toAutomaton,medium
ascii_lower,single,plus,1,1,determinize,short
ascii_lower,set,plus,2,2,intersection,empty
unicode_bmp,negated,none,1,0,minimize,short
ascii_lower,negated,optional,0,1,toAutomaton,empty
ascii_lower,range,optional,1,2,complement,medium
unicode_bmp,range,plus,2,1,complement,short
unicode_bmp,single,bounded,0,2,minimize,empty
single_char,set,none,0,1,intersection,medium
ascii_alnum,set,optional,2,0,determinize,empty
unicode_bmp,range,star,1,0,intersection,short
single_char,single,optional,0,2,union,short
ascii_alnum,single,bounded,2,0,complement,medium
ascii_alnum,range,plus,1,0,union,empty
ascii_lower,negated,none,2,2,union,medium
ascii_lower,set,plus,0,0,minimize,medium
ascii_alnum,range,none,1,2,determinize,medium
unicode_bmp,range,optional,1,2,minimize,medium
ascii_alnum,negated,bounded,1,1,intersection,empty
ascii_lower,set,star,0,2,complement,empty
unicode_bmp,set,star,0,1,union,medium
single_char,single,star,0,1,determinize,short
ascii_alnum,range,bounded,0,0,determinize,short
unicode_bmp,negated,plus,1,2,complement,medium
unicode_bmp,single,none,2,2,toAutomaton,empty
single_char,single,optional,1,0,intersection,medium
unicode_bmp,negated,bounded,1,0,determinize,empty
ascii_lower,negated,bounded,1,1,union,short
single_char,single,plus,1,2,toAutomaton,empty
single_char,single,bounded,0,0,minimize,empty
unicode_bmp,negated,star,1,2,toAutomaton,empty
